ID;incident_dart;x;y;z
497;3868;0.532666;0.216506;0.694184
498;3876;0.476961;0.125000;0.621587
499;3884;0.456571;-0.000000;0.595015
500;3892;0.476961;-0.125000;0.621587
501;3900;0.532666;-0.216506;0.694184
502;3908;0.608761;-0.250000;0.793353
503;3916;0.684856;-0.216506;0.892523
504;3924;0.740562;-0.125000;0.965120
505;3938;0.883883;-0.000000;0.883884
506;3940;0.860199;0.125000;0.860200
507;3948;0.795495;0.216506;0.795496
508;3956;0.707106;0.250000;0.707107
509;3964;0.618718;0.216506;0.618719
510;3972;0.554013;0.125000;0.554014
511;3980;0.530330;-0.000000;0.530330
512;3988;0.554013;-0.125000;0.554014
513;3996;0.618718;-0.216506;0.618719
514;4004;0.707106;-0.250000;0.707107
515;4012;0.795495;-0.216506;0.795496
516;4020;0.860199;-0.125000;0.860200
517;4034;0.991692;-0.000000;0.760952
518;4036;0.965119;0.125000;0.740562
519;4044;0.892523;0.216506;0.684856
520;4052;0.793353;0.250000;0.608761
521;4060;0.694184;0.216506;0.532666
522;4068;0.621587;0.125000;0.476961
523;4076;0.595015;-0.000000;0.456571
524;4084;0.621587;-0.125000;0.476961
525;4092;0.694184;-0.216506;0.532666
526;4100;0.793353;-0.250000;0.608761
527;4108;0.892523;-0.216506;0.684856
528;4116;0.965119;-0.125000;0.740562
529;4130;1.082532;-0.000000;0.625000
530;4132;1.053525;0.125000;0.608253
531;4140;0.974279;0.216506;0.562500
532;4148;0.866025;0.250000;0.500000
533;4156;0.757772;0.216506;0.437500
534;4164;0.678525;0.125000;0.391747
535;4172;0.649519;-0.000000;0.375000
536;4180;0.678525;-0.125000;0.391747
537;4188;0.757772;-0.216506;0.437500
538;4196;0.866025;-0.250000;0.500000
539;4204;0.974279;-0.216506;0.562500
540;4212;1.053525;-0.125000;0.608253
541;4226;1.154849;-0.000000;0.478355
542;4228;1.123905;0.125000;0.465537
543;4236;1.039364;0.216506;0.430519
544;4244;0.923879;0.250000;0.382684
545;4252;0.808394;0.216506;0.334848
546;4260;0.723854;0.125000;0.299830
547;4268;0.692910;-0.000000;0.287013
548;4276;0.723854;-0.125000;0.299830
549;4284;0.808394;-0.216506;0.334848
550;4292;0.923879;-0.250000;0.382684
551;4300;1.039364;-0.216506;0.430519
552;4308;1.123905;-0.125000;0.465537
553;4322;1.207407;-0.000000;0.323523
554;4324;1.175055;0.125000;0.314855
555;4332;1.086667;0.216506;0.291171
556;4340;0.965926;0.250000;0.258819
557;4348;0.845185;0.216506;0.226466
558;4356;0.756797;0.125000;0.202783
559;4364;0.724444;-0.000000;0.194114
560;4372;0.756797;-0.125000;0.202783
561;4380;0.845185;-0.216506;0.226466
562;4388;0.965926;-0.250000;0.258819
563;4396;1.086667;-0.216506;0.291171
564;4404;1.175055;-0.125000;0.314855
565;4418;1.239306;-0.000000;0.163158
566;4420;1.206099;0.125000;0.158786
567;4428;1.115376;0.216506;0.146842
568;4436;0.991445;0.250000;0.130526
569;4444;0.867514;0.216506;0.114210
570;4452;0.776791;0.125000;0.102266
571;4460;0.743584;-0.000000;0.097895
572;4468;0.776791;-0.125000;0.102266
573;4476;0.867514;-0.216506;0.114210
574;4484;0.991445;-0.250000;0.130526
575;4492;1.115376;-0.216506;0.146842
576;4500;1.206099;-0.125000;0.158786
577;4608;1.250000;0.000000;0.000000
578;4614;1.216506;0.125000;0.000000
579;4622;1.125000;0.216506;0.000000
580;4630;1.000000;0.250000;0.000000
581;4638;0.875000;0.216506;0.000000
582;4646;0.783494;0.125000;0.000000
583;4654;0.750000;0.000000;0.000000
584;4662;0.783494;-0.125000;0.000000
585;4670;0.875000;-0.216506;0.000000
586;4678;1.000000;-0.250000;0.000000
587;4686;1.125000;-0.216506;0.000000
588;4694;1.216506;-0.125000;0.000000
589;4610;1.239306;0.000000;-0.163158
590;4612;1.206099;0.125000;-0.158786
591;4620;1.115376;0.216506;-0.146842
592;4628;0.991445;0.250000;-0.130526
593;4636;0.867514;0.216506;-0.114210
594;4644;0.776791;0.125000;-0.102266
595;4652;0.743584;0.000000;-0.097895
596;4660;0.776791;-0.125000;-0.102266
597;4668;0.867514;-0.216506;-0.114210
598;4676;0.991445;-0.250000;-0.130526
599;4684;1.115376;-0.216506;-0.146842
600;4692;1.206099;-0.125000;-0.158786
601;4706;1.207407;0.000000;-0.323524
602;4708;1.175055;0.125000;-0.314855
603;4716;1.086667;0.216506;-0.291171
604;4724;0.965926;0.250000;-0.258819
605;4732;0.845185;0.216506;-0.226467
606;4740;0.756797;0.125000;-0.202783
607;4748;0.724444;0.000000;-0.194114
608;4756;0.756797;-0.125000;-0.202783
609;4764;0.845185;-0.216506;-0.226467
610;4772;0.965926;-0.250000;-0.258819
611;4780;1.086667;-0.216506;-0.291171
612;4788;1.175055;-0.125000;-0.314855
613;4802;1.154849;0.000000;-0.478354
614;4804;1.123905;0.125000;-0.465537
615;4812;1.039364;0.216506;-0.430519
616;4820;0.923880;0.250000;-0.382683
617;4828;0.808395;0.216506;-0.334848
618;4836;0.723854;0.125000;-0.299830
619;4844;0.692910;0.000000;-0.287013
620;4852;0.723854;-0.125000;-0.299830
621;4860;0.808395;-0.216506;-0.334848
622;4868;0.923880;-0.250000;-0.382683
623;4876;1.039364;-0.216506;-0.430519
624;4884;1.123905;-0.125000;-0.465537
625;4898;1.082532;0.000000;-0.625000
626;4900;1.053525;0.125000;-0.608253
627;4908;0.974279;0.216506;-0.562500
628;4916;0.866025;0.250000;-0.500000
629;4924;0.757772;0.216506;-0.437500
630;4932;0.678525;0.125000;-0.391747
